['a1', 'a3', 'X', 'B', 'R', 'N']
['a1', 'a3', 'a2', 'B', 'Nex', 'C']
['a1', 'a3', 'a4', 'B', 'Nex', 'C']
['a1', 'a3', 'a5', 'B', 'Nex', 'C']
['a1', 'a3', 'b1', 'B', 9, 'N']
['a1', 'a3', 'b2', 'B', 9, 'N']
['a1', 'a3', 'b3', 'B', 'Nex', 'C']
['a1', 'a3', 'b4', 'B', 9, 'N']
['a1', 'a3', 'b5', 'B', 9, 'N']
['a1', 'a3', 'c1', 'B', 9, 'N']
['a1', 'a3', 'c2', 'B', 9, 'N']
['a1', 'a3', 'c3', 'B', 'Nex', 'C']
['a1', 'a3', 'c4', 'B', 11, 'N']
['a1', 'a3', 'c5', 'B', 11, 'N']
['a1', 'a3', 'd1', 'B', 9, 'N']
['a1', 'a3', 'd2', 'B', 9, 'N']
['a1', 'a3', 'd3', 'B', 'Nex', 'C']
['a1', 'a3', 'd4', 'B', 13, 'N']
['a1', 'a3', 'd5', 'B', 13, 'N']
['a1', 'a3', 'e1', 'B', 9, 'N']
['a1', 'a3', 'e2', 'B', 9, 'N']
['a1', 'a3', 'e3', 'B', 'Nex', 'C']
['a1', 'a3', 'e4', 'B', 13, 'N']
['a1', 'a3', 'e5', 'B', 13, 'N']
['a1', 'a4', 'X', 'B', 'R', 'N']
['a1', 'a4', 'a2', 'B', 'Nex', 'C']
['a1', 'a4', 'a3', 'B', 'Nex', 'C']
['a1', 'a4', 'a5', 'B', 'Nex', 'C']
['a1', 'a4', 'b1', 'B', 7, 'N']
['a1', 'a4', 'b2', 'B', 7, 'N']
['a1', 'a4', 'b3', 'B', 7, 'N']
['a1', 'a4', 'b4', 'B', 'Nex', 'C']
['a1', 'a4', 'b5', 'B', 11, 'N']
['a1', 'a4', 'c1', 'B', 9, 'N']
['a1', 'a4', 'c2', 'B', 9, 'N']
['a1', 'a4', 'c3', 'B', 9, 'N']
['a1', 'a4', 'c4', 'B', 'Nex', 'C']
['a1', 'a4', 'c5', 'B', 9, 'N']
['a1', 'a4', 'd1', 'B', 9, 'N']
['a1', 'a4', 'd2', 'B', 9, 'N']
['a1', 'a4', 'd3', 'B', 11, 'N']
['a1', 'a4', 'd4', 'B', 'Nex', 'C']
['a1', 'a4', 'd5', 'B', 11, 'N']
['a1', 'a4', 'e1', 'B', 9, 'N']
['a1', 'a4', 'e2', 'B', 9, 'N']
['a1', 'a4', 'e3', 'B', 11, 'N']
['a1', 'a4', 'e4', 'B', 'Nex', 'C']
['a1', 'a4', 'e5', 'B', 11, 'N']
['a1', 'a5', 'X', 'B', 'R', 'N']
['a1', 'a5', 'a2', 'B', 'Nex', 'C']
['a1', 'a5', 'a3', 'B', 'Nex', 'C']
['a1', 'a5', 'a4', 'B', 'Nex', 'C']
['a1', 'a5', 'b1', 'B', 9, 'N']
['a1', 'a5', 'b2', 'B', 9, 'N']
['a1', 'a5', 'b3', 'B', 9, 'N']
['a1', 'a5', 'b4', 'B', 9, 'N']
['a1', 'a5', 'b5', 'B', 'Nex', 'C']
['a1', 'a5', 'c1', 'B', 9, 'N']
['a1', 'a5', 'c2', 'B', 9, 'N']
['a1', 'a5', 'c3', 'B', 9, 'N']
['a1', 'a5', 'c4', 'B', 5, 'N']
['a1', 'a5', 'c5', 'B', 'Nex', 'C']
['a1', 'a5', 'd1', 'B', 9, 'N']
['a1', 'a5', 'd2', 'B', 9, 'N']
['a1', 'a5', 'd3', 'B', 9, 'N']
['a1', 'a5', 'd4', 'B', 7, 'N']
['a1', 'a5', 'd5', 'B', 'Nex', 'C']
['a1', 'a5', 'e1', 'B', 9, 'N']
['a1', 'a5', 'e2', 'B', 9, 'N']
['a1', 'a5', 'e3', 'B', 9, 'N']
['a1', 'a5', 'e4', 'B', 7, 'N']
['a1', 'a5', 'e5', 'B', 'Nex', 'C']
['a1', 'b3', 'X', 'B', 'R', 'N']
['a1', 'b3', 'a2', 'B', 17, 'N']
['a1', 'b3', 'a3', 'B', 'Nex', 'C']
['a1', 'b3', 'a4', 'B', 17, 'N']
['a1', 'b3', 'a5', 'B', 15, 'N']
['a1', 'b3', 'b1', 'B', 'Nex', 'C']
['a1', 'b3', 'b2', 'B', 'Nex', 'C']
['a1', 'b3', 'b4', 'B', 'Nex', 'C']
['a1', 'b3', 'b5', 'B', 'Nex', 'C']
['a1', 'b3', 'c1', 'B', 11, 'N']
['a1', 'b3', 'c2', 'B', 11, 'N']
['a1', 'b3', 'c3', 'B', 'Nex', 'C']
['a1', 'b3', 'c4', 'B', 11, 'N']
['a1', 'b3', 'c5', 'B', 11, 'N']
['a1', 'b3', 'd1', 'B', 11, 'N']
['a1', 'b3', 'd2', 'B', 15, 'N']
['a1', 'b3', 'd3', 'B', 'Nex', 'C']
['a1', 'b3', 'd4', 'B', 15, 'N']
['a1', 'b3', 'd5', 'B', 15, 'N']
['a1', 'b3', 'e1', 'B', 11, 'N']
['a1', 'b3', 'e2', 'B', 17, 'N']
['a1', 'b3', 'e3', 'B', 'Nex', 'C']
['a1', 'b3', 'e4', 'B', 17, 'N']
['a1', 'b3', 'e5', 'B', 15, 'N']
['a1', 'b4', 'X', 'B', 'R', 'N']
['a1', 'b4', 'a2', 'B', 13, 'N']
['a1', 'b4', 'a3', 'B', 13, 'N']
['a1', 'b4', 'a4', 'B', 'Nex', 'C']
['a1', 'b4', 'a5', 'B', 19, 'N']
['a1', 'b4', 'b1', 'B', 'Nex', 'C']
['a1', 'b4', 'b2', 'B', 'Nex', 'C']
['a1', 'b4', 'b3', 'B', 'Nex', 'C']
['a1', 'b4', 'b5', 'B', 'Nex', 'C']
['a1', 'b4', 'c1', 'B', 7, 'N']
['a1', 'b4', 'c2', 'B', 7, 'N']
['a1', 'b4', 'c3', 'B', 9, 'N']
['a1', 'b4', 'c4', 'B', 'Nex', 'C']
['a1', 'b4', 'c5', 'B', 13, 'N']
['a1', 'b4', 'd1', 'B', 11, 'N']
['a1', 'b4', 'd2', 'B', 11, 'N']
['a1', 'b4', 'd3', 'B', 11, 'N']
['a1', 'b4', 'd4', 'B', 'Nex', 'C']
['a1', 'b4', 'd5', 'B', 11, 'N']
['a1', 'b4', 'e1', 'B', 11, 'N']
['a1', 'b4', 'e2', 'B', 11, 'N']
['a1', 'b4', 'e3', 'B', 13, 'N']
['a1', 'b4', 'e4', 'B', 'Nex', 'C']
['a1', 'b4', 'e5', 'B', 13, 'N']
['a1', 'b5', 'X', 'B', 'R', 'N']
['a1', 'b5', 'a2', 'B', 11, 'N']
['a1', 'b5', 'a3', 'B', 11, 'N']
['a1', 'b5', 'a4', 'B', 13, 'N']
['a1', 'b5', 'a5', 'B', 'Nex', 'C']
['a1', 'b5', 'b1', 'B', 'Nex', 'C']
['a1', 'b5', 'b2', 'B', 'Nex', 'C']
['a1', 'b5', 'b3', 'B', 'Nex', 'C']
['a1', 'b5', 'b4', 'B', 'Nex', 'C']
['a1', 'b5', 'c1', 'B', 9, 'N']
['a1', 'b5', 'c2', 'B', 9, 'N']
['a1', 'b5', 'c3', 'B', 9, 'N']
['a1', 'b5', 'c4', 'B', 11, 'N']
['a1', 'b5', 'c5', 'B', 'Nex', 'C']
['a1', 'b5', 'd1', 'B', 11, 'N']
['a1', 'b5', 'd2', 'B', 11, 'N']
['a1', 'b5', 'd3', 'B', 11, 'N']
['a1', 'b5', 'd4', 'B', 9, 'N']
['a1', 'b5', 'd5', 'B', 'Nex', 'C']
['a1', 'b5', 'e1', 'B', 11, 'N']
['a1', 'b5', 'e2', 'B', 11, 'N']
['a1', 'b5', 'e3', 'B', 11, 'N']
['a1', 'b5', 'e4', 'B', 9, 'N']
['a1', 'b5', 'e5', 'B', 'Nex', 'C']
['a1', 'c1', 'X', 'B', 'R', 'N']
['a1', 'c1', 'a2', 'B', 9, 'N']
['a1', 'c1', 'a3', 'B', 9, 'N']
['a1', 'c1', 'a4', 'B', 9, 'N']
['a1', 'c1', 'a5', 'B', 9, 'N']
['a1', 'c1', 'b1', 'B', 'Nex', 'C']
['a1', 'c1', 'b2', 'B', 9, 'N']
['a1', 'c1', 'b3', 'B', 9, 'N']
['a1', 'c1', 'b4', 'B', 9, 'N']
['a1', 'c1', 'b5', 'B', 9, 'N']
['a1', 'c1', 'c2', 'B', 'Nex', 'C']
['a1', 'c1', 'c3', 'B', 'Nex', 'C']
['a1', 'c1', 'c4', 'B', 'Nex', 'C']
['a1', 'c1', 'c5', 'B', 'Nex', 'C']
['a1', 'c1', 'd1', 'B', 'Nex', 'C']
['a1', 'c1', 'd2', 'B', 9, 'N']
['a1', 'c1', 'd3', 'B', 11, 'N']
['a1', 'c1', 'd4', 'B', 13, 'N']
['a1', 'c1', 'd5', 'B', 13, 'N']
['a1', 'c1', 'e1', 'B', 'Nex', 'C']
['a1', 'c1', 'e2', 'B', 9, 'N']
['a1', 'c1', 'e3', 'B', 11, 'N']
['a1', 'c1', 'e4', 'B', 13, 'N']
['a1', 'c1', 'e5', 'B', 13, 'N']
['a1', 'c2', 'X', 'B', 'R', 'N']
['a1', 'c2', 'a2', 'B', 'Nex', 'C']
['a1', 'c2', 'a3', 'B', 11, 'N']
['a1', 'c2', 'a4', 'B', 11, 'N']
['a1', 'c2', 'a5', 'B', 11, 'N']
['a1', 'c2', 'b1', 'B', 17, 'N']
['a1', 'c2', 'b2', 'B', 'Nex', 'C']
['a1', 'c2', 'b3', 'B', 11, 'N']
['a1', 'c2', 'b4', 'B', 15, 'N']
['a1', 'c2', 'b5', 'B', 17, 'N']
['a1', 'c2', 'c1', 'B', 'Nex', 'C']
['a1', 'c2', 'c3', 'B', 'Nex', 'C']
['a1', 'c2', 'c4', 'B', 'Nex', 'C']
['a1', 'c2', 'c5', 'B', 'Nex', 'C']
['a1', 'c2', 'd1', 'B', 17, 'N']
['a1', 'c2', 'd2', 'B', 'Nex', 'C']
['a1', 'c2', 'd3', 'B', 11, 'N']
['a1', 'c2', 'd4', 'B', 15, 'N']
['a1', 'c2', 'd5', 'B', 17, 'N']
['a1', 'c2', 'e1', 'B', 15, 'N']
['a1', 'c2', 'e2', 'B', 'Nex', 'C']
['a1', 'c2', 'e3', 'B', 11, 'N']
['a1', 'c2', 'e4', 'B', 15, 'N']
['a1', 'c2', 'e5', 'B', 15, 'N']
['a1', 'c3', 'X', 'B', 'R', 'N']
['a1', 'c3', 'a2', 'B', 15, 'N']
['a1', 'c3', 'a3', 'B', 'Nex', 'C']
['a1', 'c3', 'a4', 'B', 13, 'N']
['a1', 'c3', 'a5', 'B', 15, 'N']
['a1', 'c3', 'b1', 'B', 15, 'N']
['a1', 'c3', 'b2', 'B', 17, 'N']
['a1', 'c3', 'b3', 'B', 'Nex', 'C']
['a1', 'c3', 'b4', 'B', 17, 'N']
['a1', 'c3', 'b5', 'B', 17, 'N']
['a1', 'c3', 'c1', 'B', 'Nex', 'C']
['a1', 'c3', 'c2', 'B', 'Nex', 'C']
['a1', 'c3', 'c4', 'B', 'Nex', 'C']
['a1', 'c3', 'c5', 'B', 'Nex', 'C']
['a1', 'c3', 'd1', 'B', 13, 'N']
['a1', 'c3', 'd2', 'B', 17, 'N']
['a1', 'c3', 'd3', 'B', 'Nex', 'C']
['a1', 'c3', 'd4', 'B', 19, 'N']
['a1', 'c3', 'd5', 'B', 17, 'N']
['a1', 'c3', 'e1', 'B', 15, 'N']
['a1', 'c3', 'e2', 'B', 17, 'N']
['a1', 'c3', 'e3', 'B', 'Nex', 'C']
['a1', 'c3', 'e4', 'B', 17, 'N']
['a1', 'c3', 'e5', 'B', 17, 'N']
['a1', 'c4', 'X', 'B', 'R', 'N']
['a1', 'c4', 'a2', 'B', 13, 'N']
['a1', 'c4', 'a3', 'B', 13, 'N']
['a1', 'c4', 'a4', 'B', 'Nex', 'C']
['a1', 'c4', 'a5', 'B', 13, 'N']
['a1', 'c4', 'b1', 'B', 13, 'N']
['a1', 'c4', 'b2', 'B', 15, 'N']
['a1', 'c4', 'b3', 'B', 13, 'N']
['a1', 'c4', 'b4', 'B', 'Nex', 'C']
['a1', 'c4', 'b5', 'B', 17, 'N']
['a1', 'c4', 'c1', 'B', 'Nex', 'C']
['a1', 'c4', 'c2', 'B', 'Nex', 'C']
['a1', 'c4', 'c3', 'B', 'Nex', 'C']
['a1', 'c4', 'c5', 'B', 'Nex', 'C']
['a1', 'c4', 'd1', 'B', 9, 'N']
['a1', 'c4', 'd2', 'B', 9, 'N']
['a1', 'c4', 'd3', 'B', 15, 'N']
['a1', 'c4', 'd4', 'B', 'Nex', 'C']
['a1', 'c4', 'd5', 'B', 15, 'N']
['a1', 'c4', 'e1', 'B', 13, 'N']
['a1', 'c4', 'e2', 'B', 15, 'N']
['a1', 'c4', 'e3', 'B', 15, 'N']
['a1', 'c4', 'e4', 'B', 'Nex', 'C']
['a1', 'c4', 'e5', 'B', 15, 'N']
['a1', 'c5', 'X', 'B', 'R', 'N']
['a1', 'c5', 'a2', 'B', 13, 'N']
['a1', 'c5', 'a3', 'B', 13, 'N']
['a1', 'c5', 'a4', 'B', 11, 'N']
['a1', 'c5', 'a5', 'B', 'Nex', 'C']
['a1', 'c5', 'b1', 'B', 13, 'N']
['a1', 'c5', 'b2', 'B', 13, 'N']
['a1', 'c5', 'b3', 'B', 13, 'N']
['a1', 'c5', 'b4', 'B', 15, 'N']
['a1', 'c5', 'b5', 'B', 'Nex', 'C']
['a1', 'c5', 'c1', 'B', 'Nex', 'C']
['a1', 'c5', 'c2', 'B', 'Nex', 'C']
['a1', 'c5', 'c3', 'B', 'Nex', 'C']
['a1', 'c5', 'c4', 'B', 'Nex', 'C']
['a1', 'c5', 'd1', 'B', 11, 'N']
['a1', 'c5', 'd2', 'B', 11, 'N']
['a1', 'c5', 'd3', 'B', 11, 'N']
['a1', 'c5', 'd4', 'B', 13, 'N']
['a1', 'c5', 'd5', 'B', 'Nex', 'C']
['a1', 'c5', 'e1', 'B', 13, 'N']
['a1', 'c5', 'e2', 'B', 13, 'N']
['a1', 'c5', 'e3', 'B', 15, 'N']
['a1', 'c5', 'e4', 'B', 11, 'N']
['a1', 'c5', 'e5', 'B', 'Nex', 'C']
['a1', 'd1', 'X', 'B', 'R', 'N']
['a1', 'd1', 'a2', 'B', 7, 'N']
['a1', 'd1', 'a3', 'B', 9, 'N']
['a1', 'd1', 'a4', 'B', 9, 'N']
['a1', 'd1', 'a5', 'B', 9, 'N']
['a1', 'd1', 'b1', 'B', 'Nex', 'C']
['a1', 'd1', 'b2', 'B', 7, 'N']
['a1', 'd1', 'b3', 'B', 9, 'N']
['a1', 'd1', 'b4', 'B', 9, 'N']
['a1', 'd1', 'b5', 'B', 9, 'N']
['a1', 'd1', 'c1', 'B', 'Nex', 'C']
['a1', 'd1', 'c2', 'B', 7, 'N']
['a1', 'd1', 'c3', 'B', 9, 'N']
['a1', 'd1', 'c4', 'B', 11, 'N']
['a1', 'd1', 'c5', 'B', 11, 'N']
['a1', 'd1', 'd2', 'B', 'Nex', 'C']
['a1', 'd1', 'd3', 'B', 'Nex', 'C']
['a1', 'd1', 'd4', 'B', 'Nex', 'C']
['a1', 'd1', 'd5', 'B', 'Nex', 'C']
['a1', 'd1', 'e1', 'B', 'Nex', 'C']
['a1', 'd1', 'e2', 'B', 11, 'N']
['a1', 'd1', 'e3', 'B', 9, 'N']
['a1', 'd1', 'e4', 'B', 11, 'N']
['a1', 'd1', 'e5', 'B', 11, 'N']
['a1', 'd2', 'X', 'B', 'R', 'N']
['a1', 'd2', 'a2', 'B', 'Nex', 'C']
['a1', 'd2', 'a3', 'B', 7, 'N']
['a1', 'd2', 'a4', 'B', 11, 'N']
['a1', 'd2', 'a5', 'B', 11, 'N']
['a1', 'd2', 'b1', 'B', 13, 'N']
['a1', 'd2', 'b2', 'B', 'Nex', 'C']
['a1', 'd2', 'b3', 'B', 7, 'N']
['a1', 'd2', 'b4', 'B', 11, 'N']
['a1', 'd2', 'b5', 'B', 11, 'N']
['a1', 'd2', 'c1', 'B', 13, 'N']
['a1', 'd2', 'c2', 'B', 'Nex', 'C']
['a1', 'd2', 'c3', 'B', 9, 'N']
['a1', 'd2', 'c4', 'B', 11, 'N']
['a1', 'd2', 'c5', 'B', 13, 'N']
['a1', 'd2', 'd1', 'B', 'Nex', 'C']
['a1', 'd2', 'd3', 'B', 'Nex', 'C']
['a1', 'd2', 'd4', 'B', 'Nex', 'C']
['a1', 'd2', 'd5', 'B', 'Nex', 'C']
['a1', 'd2', 'e1', 'B', 19, 'N']
['a1', 'd2', 'e2', 'B', 'Nex', 'C']
['a1', 'd2', 'e3', 'B', 13, 'N']
['a1', 'd2', 'e4', 'B', 11, 'N']
['a1', 'd2', 'e5', 'B', 13, 'N']
['a1', 'd3', 'X', 'B', 'R', 'N']
['a1', 'd3', 'a2', 'B', 13, 'N']
['a1', 'd3', 'a3', 'B', 'Nex', 'C']
['a1', 'd3', 'a4', 'B', 9, 'N']
['a1', 'd3', 'a5', 'B', 13, 'N']
['a1', 'd3', 'b1', 'B', 13, 'N']
['a1', 'd3', 'b2', 'B', 15, 'N']
['a1', 'd3', 'b3', 'B', 'Nex', 'C']
['a1', 'd3', 'b4', 'B', 9, 'N']
['a1', 'd3', 'b5', 'B', 15, 'N']
['a1', 'd3', 'c1', 'B', 13, 'N']
['a1', 'd3', 'c2', 'B', 13, 'N']
['a1', 'd3', 'c3', 'B', 'Nex', 'C']
['a1', 'd3', 'c4', 'B', 15, 'N']
['a1', 'd3', 'c5', 'B', 15, 'N']
['a1', 'd3', 'd1', 'B', 'Nex', 'C']
['a1', 'd3', 'd2', 'B', 'Nex', 'C']
['a1', 'd3', 'd4', 'B', 'Nex', 'C']
['a1', 'd3', 'd5', 'B', 'Nex', 'C']
['a1', 'd3', 'e1', 'B', 13, 'N']
['a1', 'd3', 'e2', 'B', 17, 'N']
['a1', 'd3', 'e3', 'B', 'Nex', 'C']
['a1', 'd3', 'e4', 'B', 15, 'N']
['a1', 'd3', 'e5', 'B', 15, 'N']
['a1', 'd4', 'X', 'B', 'R', 'N']
['a1', 'd4', 'a2', 'B', 13, 'N']
['a1', 'd4', 'a3', 'B', 13, 'N']
['a1', 'd4', 'a4', 'B', 'Nex', 'C']
['a1', 'd4', 'a5', 'B', 13, 'N']
['a1', 'd4', 'b1', 'B', 13, 'N']
['a1', 'd4', 'b2', 'B', 15, 'N']
['a1', 'd4', 'b3', 'B', 13, 'N']
['a1', 'd4', 'b4', 'B', 'Nex', 'C']
['a1', 'd4', 'b5', 'B', 15, 'N']
['a1', 'd4', 'c1', 'B', 13, 'N']
['a1', 'd4', 'c2', 'B', 13, 'N']
['a1', 'd4', 'c3', 'B', 13, 'N']
['a1', 'd4', 'c4', 'B', 'Nex', 'C']
['a1', 'd4', 'c5', 'B', 15, 'N']
['a1', 'd4', 'd1', 'B', 'Nex', 'C']
['a1', 'd4', 'd2', 'B', 'Nex', 'C']
['a1', 'd4', 'd3', 'B', 'Nex', 'C']
['a1', 'd4', 'd5', 'B', 'Nex', 'C']
['a1', 'd4', 'e1', 'B', 13, 'N']
['a1', 'd4', 'e2', 'B', 15, 'N']
['a1', 'd4', 'e3', 'B', 15, 'N']
['a1', 'd4', 'e4', 'B', 'Nex', 'C']
['a1', 'd4', 'e5', 'B', 17, 'N']
['a1', 'd5', 'X', 'B', 'R', 'N']
['a1', 'd5', 'a2', 'B', 13, 'N']
['a1', 'd5', 'a3', 'B', 13, 'N']
['a1', 'd5', 'a4', 'B', 9, 'N']
['a1', 'd5', 'a5', 'B', 'Nex', 'C']
['a1', 'd5', 'b1', 'B', 13, 'N']
['a1', 'd5', 'b2', 'B', 13, 'N']
['a1', 'd5', 'b3', 'B', 13, 'N']
['a1', 'd5', 'b4', 'B', 9, 'N']
['a1', 'd5', 'b5', 'B', 'Nex', 'C']
['a1', 'd5', 'c1', 'B', 13, 'N']
['a1', 'd5', 'c2', 'B', 13, 'N']
['a1', 'd5', 'c3', 'B', 13, 'N']
['a1', 'd5', 'c4', 'B', 13, 'N']
['a1', 'd5', 'c5', 'B', 'Nex', 'C']
['a1', 'd5', 'd1', 'B', 'Nex', 'C']
['a1', 'd5', 'd2', 'B', 'Nex', 'C']
['a1', 'd5', 'd3', 'B', 'Nex', 'C']
['a1', 'd5', 'd4', 'B', 'Nex', 'C']
['a1', 'd5', 'e1', 'B', 13, 'N']
['a1', 'd5', 'e2', 'B', 13, 'N']
['a1', 'd5', 'e3', 'B', 15, 'N']
['a1', 'd5', 'e4', 'B', 13, 'N']
['a1', 'd5', 'e5', 'B', 'Nex', 'C']
['a1', 'e1', 'X', 'B', 'R', 'N']
['a1', 'e1', 'a2', 'B', 9, 'N']
['a1', 'e1', 'a3', 'B', 9, 'N']
['a1', 'e1', 'a4', 'B', 9, 'N']
['a1', 'e1', 'a5', 'B', 9, 'N']
['a1', 'e1', 'b1', 'B', 'Nex', 'C']
['a1', 'e1', 'b2', 'B', 9, 'N']
['a1', 'e1', 'b3', 'B', 9, 'N']
['a1', 'e1', 'b4', 'B', 9, 'N']
['a1', 'e1', 'b5', 'B', 9, 'N']
['a1', 'e1', 'c1', 'B', 'Nex', 'C']
['a1', 'e1', 'c2', 'B', 9, 'N']
['a1', 'e1', 'c3', 'B', 9, 'N']
['a1', 'e1', 'c4', 'B', 9, 'N']
['a1', 'e1', 'c5', 'B', 9, 'N']
['a1', 'e1', 'd1', 'B', 'Nex', 'C']
['a1', 'e1', 'd2', 'B', 9, 'N']
['a1', 'e1', 'd3', 'B', 5, 'N']
['a1', 'e1', 'd4', 'B', 7, 'N']
['a1', 'e1', 'd5', 'B', 7, 'N']
['a1', 'e1', 'e2', 'B', 'Nex', 'C']
['a1', 'e1', 'e3', 'B', 'Nex', 'C']
['a1', 'e1', 'e4', 'B', 'Nex', 'C']
['a1', 'e1', 'e5', 'B', 'Nex', 'C']
['a1', 'e2', 'X', 'B', 'R', 'N']
['a1', 'e2', 'a2', 'B', 'Nex', 'C']
['a1', 'e2', 'a3', 'B', 9, 'N']
['a1', 'e2', 'a4', 'B', 11, 'N']
['a1', 'e2', 'a5', 'B', 11, 'N']
['a1', 'e2', 'b1', 'B', 11, 'N']
['a1', 'e2', 'b2', 'B', 'Nex', 'C']
['a1', 'e2', 'b3', 'B', 9, 'N']
['a1', 'e2', 'b4', 'B', 11, 'N']
['a1', 'e2', 'b5', 'B', 11, 'N']
['a1', 'e2', 'c1', 'B', 11, 'N']
['a1', 'e2', 'c2', 'B', 'Nex', 'C']
['a1', 'e2', 'c3', 'B', 9, 'N']
['a1', 'e2', 'c4', 'B', 11, 'N']
['a1', 'e2', 'c5', 'B', 11, 'N']
['a1', 'e2', 'd1', 'B', 13, 'N']
['a1', 'e2', 'd2', 'B', 'Nex', 'C']
['a1', 'e2', 'd3', 'B', 11, 'N']
['a1', 'e2', 'd4', 'B', 9, 'N']
['a1', 'e2', 'd5', 'B', 9, 'N']
['a1', 'e2', 'e1', 'B', 'Nex', 'C']
